GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,ChangeAgentCommand,3,17,0,0,2,7,1,4,1,4
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,ValidateSnapshotAnswer,27,0,0,0,10,0,5,0,5,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,GetVmStatsCommand,26,0,0,0,11,0,6,0,6,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,SetupCommand,34,0,0,0,15,0,8,0,8,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,GetVmConfigCommand,18,0,0,0,9,0,5,0,5,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,CreateVolumeFromVMSnapshotAnswer,33,0,0,0,12,0,6,0,6,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,GetFileStatsAnswer,13,0,0,0,6,0,3,0,3,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,RevertToVMSnapshotAnswer,35,0,0,0,14,0,7,0,7,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,CheckVirtualMachineAnswer,34,0,0,0,12,0,6,0,6,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,VMSnapshotTO,96,0,0,0,40,0,20,0,20,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,UnPlugNicAnswer,9,0,0,0,4,0,2,0,2,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,PerformanceMonitorCommand,31,0,0,0,11,0,5,0,5,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,DirectNetworkUsageAnswer,53,0,2,0,16,0,7,0,6,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,GetVmDiskStatsAnswer,21,0,0,0,8,0,4,0,4,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,PingCommand,87,0,12,0,20,0,13,0,7,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,CheckStateAnswer,30,0,0,0,11,0,5,0,5,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,ScheduleHostScanTaskCommand,5,0,0,0,3,0,2,0,2,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,PrepareForMigrationAnswer,20,0,0,0,8,0,4,0,4,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,MigrateWithStorageReceiveAnswer,38,0,0,0,13,0,5,0,5,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,DeleteVMSnapshotAnswer,25,0,0,0,10,0,5,0,5,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,RebootAnswer,29,0,0,0,11,0,5,0,5,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,PrepareOCFS2NodesCommand,17,0,0,0,7,0,4,0,4,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,FenceAnswer,21,0,0,0,8,0,4,0,4,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,NetworkUsageCommand,110,0,0,0,38,0,12,0,12,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,SecurityGroupRulesCmd.IpPortAndProto,34,0,0,0,14,0,7,0,7,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,DeleteStoragePoolCommand,68,0,0,0,19,0,11,0,11,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,TransferAgentCommand,32,0,0,0,13,0,7,0,7,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,ScaleVmCommand,104,0,0,0,38,0,20,0,20,0
cloud-core (18-mrt-2016 13:14:54)/cloud-core/src,com.cloud.agent.api,StartupTrafficMonitorCommand,4,0,0,0,2,0,1,0,1,0
