GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jenkins Cobertura Plugin,hudson.plugins.cobertura,IOUtils,10,0,2,0,6,0,3,0,2,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura,Messages,211,34,0,0,22,6,22,6,22,6
Jenkins Cobertura Plugin,hudson.plugins.cobertura,MavenCoberturaPublisher.MavenCoberturaActionAdder,58,0,2,0,16,0,3,0,2,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaPublisher.CoberturaReportFilenameFilter,6,9,3,1,0,2,2,2,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaPublisher,1000,81,88,0,188,24,64,8,20,8
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaProjectAction,151,0,28,0,38,0,26,0,12,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoverageChart,155,125,11,13,40,27,10,10,4,4
Jenkins Cobertura Plugin,hudson.plugins.cobertura,MavenCoberturaPublisher.DescriptorImpl,4,6,0,0,1,3,1,2,1,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaCoverageParser,59,43,0,4,17,12,3,4,3,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoverageColumn.ColumnDescriptor,0,7,0,0,0,3,0,3,0,3
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaBuildAction,285,141,45,11,60,39,33,10,6,9
Jenkins Cobertura Plugin,hudson.plugins.cobertura,MavenCoberturaAggregatedReport,22,0,0,0,10,0,8,0,8,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaPublisherTarget,196,0,24,0,45,0,23,0,11,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura,MavenCoberturaPublisher,509,6,42,0,129,1,28,1,7,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaPublisher.ParseReportCallable,127,0,12,0,30,0,8,0,2,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaPublisherTarget.TargetConverter,7,0,0,0,2,0,2,0,2,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoverageColumn,100,0,14,0,26,0,14,0,7,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaPublisher.DescriptorImpl,83,34,2,0,19,4,7,2,6,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura,Ratio,50,150,15,15,5,27,14,11,2,8
Jenkins Cobertura Plugin,hudson.plugins.cobertura,CoberturaXmlHandler,34,591,23,77,8,141,23,45,0,13
Jenkins Cobertura Plugin,hudson.plugins.cobertura,MavenCoberturaBuildAction,22,0,0,0,4,0,3,0,3,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageElement.new HasName() {...},2,3,0,0,1,1,1,1,1,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageElement.new HasName() {...},2,3,0,0,1,1,1,1,1,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageElement.new HasName() {...},2,3,0,0,1,1,1,1,1,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageElement.new HasName() {...},2,3,0,0,1,1,1,1,1,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageElement.new HasName() {...},2,3,0,0,1,1,1,1,1,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoveragePaint.BranchingCoveragePaintDetails,0,17,0,0,0,6,0,3,0,3
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageAggregationMode.new CoverageAggregationMode() {...},12,7,0,0,1,1,1,1,1,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageAggregationMode.new CoverageAggregationMode() {...},0,36,0,4,0,4,0,4,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoveragePaint,48,165,8,10,13,33,8,14,4,9
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageMetric.new HasName() {...},0,5,0,0,0,2,0,2,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageMetric.new HasName() {...},0,5,0,0,0,2,0,2,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoveragePaint.CoveragePaintDetails,0,72,2,8,0,17,2,9,0,6
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageMetric.new HasName() {...},0,5,0,0,0,2,0,2,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageMetric.new HasName() {...},0,5,0,0,0,2,0,2,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageMetric.new HasName() {...},0,5,0,0,0,2,0,2,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageMetric.new HasName() {...},0,5,0,0,0,2,0,2,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageAggregationMode.new CoverageAggregationMode() {...},2,7,0,0,1,1,1,1,1,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageAggregationMode.new CoverageAggregationMode() {...},0,19,0,0,0,2,0,2,0,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageTree,90,0,4,0,20,0,6,0,4,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,Messages,121,40,0,0,17,7,17,7,17,7
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageResult,332,459,61,43,67,100,53,40,17,24
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageAggregationMode,9,62,0,0,0,8,2,2,2,2
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageMetric,5,98,0,0,0,11,1,4,1,4
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageElement,9,102,0,0,1,15,2,5,2,5
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageTreeElement,25,0,0,0,8,0,5,0,5,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoveragePaintRule,2,93,1,13,1,13,1,10,0,4
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageAggregationRule,0,267,0,8,0,17,0,8,0,4
Jenkins Cobertura Plugin,hudson.plugins.cobertura.targets,CoverageTarget,355,9,50,0,73,3,40,1,15,1
Jenkins Cobertura Plugin,hudson.plugins.cobertura.renderers,SourceCodePainter,396,0,28,0,77,0,18,0,4,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura.renderers,SourceEncoding,1676,0,4,0,157,0,8,0,6,0
Jenkins Cobertura Plugin,hudson.plugins.cobertura.dashboard,CoverageTablePortlet.DescriptorImpl,2,13,1,1,1,4,1,3,0,3
Jenkins Cobertura Plugin,hudson.plugins.cobertura.dashboard,CoverageTablePortlet,96,47,12,4,23,14,8,4,1,3
