GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crawler4j,edu.uci.ics.crawler4j.fetcher,PageFetcher.new TrustStrategy() {...},8,0,0,0,2,0,2,0,2,0
crawler4j,edu.uci.ics.crawler4j.fetcher,PageFetcher,679,0,62,0,126,0,40,0,9,0
crawler4j,edu.uci.ics.crawler4j.fetcher,IdleConnectionMonitorThread,55,0,2,0,17,0,4,0,3,0
crawler4j,edu.uci.ics.crawler4j.fetcher,PageFetchResult,90,0,2,0,34,0,15,0,14,0
crawler4j,edu.uci.ics.crawler4j.parser,ExtractedUrlAnchorPair,24,0,0,0,10,0,7,0,7,0
crawler4j,edu.uci.ics.crawler4j.parser,NotAllowedContentException,4,0,0,0,2,0,1,0,1,0
crawler4j,edu.uci.ics.crawler4j.parser,HtmlContentHandler,320,0,64,0,77,0,41,0,9,0
crawler4j,edu.uci.ics.crawler4j.parser,TextParseData,25,0,0,0,9,0,6,0,6,0
crawler4j,edu.uci.ics.crawler4j.parser,HtmlContentHandler.HtmlFactory,36,0,2,0,6,0,4,0,3,0
crawler4j,edu.uci.ics.crawler4j.parser,BinaryParseData,130,0,6,0,33,0,12,0,9,0
crawler4j,edu.uci.ics.crawler4j.parser,Parser,353,0,42,0,75,0,24,0,3,0
crawler4j,edu.uci.ics.crawler4j.parser,HtmlContentHandler.Element,118,0,0,0,11,0,4,0,4,0
crawler4j,edu.uci.ics.crawler4j.parser,HtmlParseData,41,0,0,0,17,0,12,0,12,0
crawler4j,edu.uci.ics.crawler4j.url,UrlResolver,222,241,49,45,52,67,34,20,2,5
crawler4j,edu.uci.ics.crawler4j.url,WebURL,103,149,11,11,34,24,26,9,20,4
crawler4j,edu.uci.ics.crawler4j.url,UrlResolver.Url,36,69,3,9,10,19,4,5,1,2
crawler4j,edu.uci.ics.crawler4j.url,URLCanonicalizer,21,309,9,38,7,62,10,21,1,6
crawler4j,edu.uci.ics.crawler4j.url,TLDList,218,106,30,12,22,25,19,8,1,5
crawler4j,edu.uci.ics.crawler4j.frontier,WorkQueues,332,0,34,0,62,0,27,0,10,0
crawler4j,edu.uci.ics.crawler4j.frontier,Counters.ReservedCounterNames,3,0,0,0,1,0,1,0,1,0
crawler4j,edu.uci.ics.crawler4j.frontier,WebURLTupleBinding,73,0,0,0,18,0,3,0,3,0
crawler4j,edu.uci.ics.crawler4j.frontier,DocIDServer,286,0,20,0,61,0,18,0,8,0
crawler4j,edu.uci.ics.crawler4j.frontier,Frontier,392,0,34,0,100,0,29,0,12,0
crawler4j,edu.uci.ics.crawler4j.frontier,InProcessPagesDB,135,0,18,0,21,0,12,0,3,0
crawler4j,edu.uci.ics.crawler4j.frontier,Counters,232,0,12,0,56,0,13,0,7,0
crawler4j,edu.uci.ics.crawler4j.robotstxt,RobotstxtConfig,33,0,0,0,13,0,7,0,7,0
crawler4j,edu.uci.ics.crawler4j.robotstxt,HostDirectives,59,0,6,0,13,0,9,0,6,0
crawler4j,edu.uci.ics.crawler4j.robotstxt,RuleSet,69,0,12,0,13,0,9,0,3,0
crawler4j,edu.uci.ics.crawler4j.robotstxt,RobotstxtParser,145,0,30,0,39,0,17,0,2,0
crawler4j,edu.uci.ics.crawler4j.robotstxt,RobotstxtServer,342,0,38,0,67,0,24,0,5,0
crawler4j,edu.uci.ics.crawler4j.crawler,Configurable,9,0,0,0,4,0,2,0,2,0
crawler4j,edu.uci.ics.crawler4j.crawler,CrawlConfig,583,0,12,0,132,0,58,0,52,0
crawler4j,edu.uci.ics.crawler4j.crawler,CrawlController,488,0,28,0,130,0,40,0,26,0
crawler4j,edu.uci.ics.crawler4j.crawler,Page,122,0,6,0,49,0,27,0,24,0
crawler4j,edu.uci.ics.crawler4j.crawler,CrawlController.new Runnable() {...},262,0,28,0,60,0,16,0,2,0
crawler4j,edu.uci.ics.crawler4j.crawler,CrawlController.DefaultWebCrawlerFactory,14,0,0,0,6,0,2,0,2,0
crawler4j,edu.uci.ics.crawler4j.crawler,WebCrawler,628,0,78,0,141,0,61,0,22,0
crawler4j,edu.uci.ics.crawler4j.crawler.exceptions,RedirectException,7,0,0,0,3,0,1,0,1,0
crawler4j,edu.uci.ics.crawler4j.crawler.exceptions,ParseException,3,0,0,0,1,0,1,0,1,0
crawler4j,edu.uci.ics.crawler4j.crawler.exceptions,ContentFetchException,3,0,0,0,1,0,1,0,1,0
crawler4j,edu.uci.ics.crawler4j.crawler.exceptions,PageBiggerThanMaxSizeException,19,0,0,0,4,0,2,0,2,0
crawler4j,edu.uci.ics.crawler4j.util,Net,52,0,6,0,15,0,7,0,4,0
crawler4j,edu.uci.ics.crawler4j.util,IO,62,0,12,0,12,0,10,0,4,0
crawler4j,edu.uci.ics.crawler4j.util,Util,181,0,26,0,28,0,21,0,8,0
crawler4j,edu.uci.ics.crawler4j.crawler.authentication,AuthInfo,95,0,0,0,37,0,18,0,18,0
crawler4j,edu.uci.ics.crawler4j.crawler.authentication,BasicAuthInfo,8,0,0,0,2,0,1,0,1,0
crawler4j,edu.uci.ics.crawler4j.crawler.authentication,AuthInfo.AuthenticationType,48,0,0,0,4,0,4,0,4,0
crawler4j,edu.uci.ics.crawler4j.crawler.authentication,FormAuthInfo,28,0,0,0,10,0,5,0,5,0
crawler4j,edu.uci.ics.crawler4j.crawler.authentication,NtAuthInfo,18,0,0,0,6,0,3,0,3,0
