GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.markup,EscapedMarkupFormatter,8,0,0,0,4,0,2,0,2,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.markup,MarkupFormatter,35,0,0,0,9,0,5,0,5,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.markup,MarkupFormatterDescriptor,7,0,0,0,3,0,2,0,2,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.markup,EscapedMarkupFormatter.DescriptorImpl,5,0,0,0,2,0,2,0,2,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,jenkins.scm,DefaultSCMCheckoutStrategyImpl,3,0,0,0,1,0,1,0,1,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,jenkins.scm,SCMCheckoutStrategy,37,0,4,0,10,0,6,0,4,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,jenkins.scm,SCMCheckoutStrategyDescriptor,34,0,4,0,11,0,6,0,4,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,jenkins.scm,DefaultSCMCheckoutStrategyImpl.DescriptorImpl,7,0,0,0,3,0,3,0,3,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,jenkins.util.io,FileBoolean,107,0,6,0,23,0,13,0,10,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.util.jelly,MorphTagLibrary,11,0,0,0,3,0,3,0,3,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.util.jelly,MorphTagLibrary.new TagScript() {...},207,0,32,0,42,0,20,0,4,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.views,JobColumn.DescriptorImpl,5,0,0,0,2,0,2,0,2,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.views,LastStableColumn.DescriptorImpl,7,0,0,0,3,0,3,0,3,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.views,MyViewsTabBar,11,0,0,0,3,0,3,0,3,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.views,StatusColumn.DescriptorImpl,5,0,0,0,2,0,2,0,2,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.views,ViewsTabBar.GlobalConfigurationImpl,29,0,2,0,7,0,4,0,3,0
jenkins-core (18-mrt-2016 11:31:58)/jenkins-core/src/main/java,hudson.views,WeatherColumn.DescriptorImpl,5,0,0,0,2,0,2,0,2,0
