GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,FullDuplexHttpStream,154,0,12,0,39,0,12,0,6,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,CLI,1173,0,107,0,256,0,80,0,26,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,NoCheckTrustManager,8,0,0,0,4,0,4,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,SequenceOutputStream,89,0,4,0,24,0,8,0,6,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,FullDuplexHttpStream.CrumbData,157,0,6,0,33,0,7,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,CLI.new SocketOutputStream() {...},8,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,Connection,376,0,10,0,89,0,26,0,21,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,CliPort,29,0,2,0,8,0,3,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,PrivateKeyProvider,259,0,14,0,50,0,18,0,11,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,CLIConnectionFactory,63,0,0,0,13,0,9,0,9,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,CLI.new Closeable() {...},13,0,0,0,4,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,SequenceOutputStream.Block,9,0,0,0,4,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,CLI.new PingThread() {...},10,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/main/java,hudson.cli,CLI.new HostnameVerifier() {...},5,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/cli/target/generated-sources/localizer,hudson.cli.client,Messages,71,0,0,0,10,0,10,0,10,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/test/java,hudson.cli,ConnectionMockTest,27,0,2,0,5,0,3,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/test/java,hudson.cli,ConnectionTest.new Thread() {...},25,0,0,0,6,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/test/java,hudson.cli,PrivateKeyProviderTest,189,0,0,0,32,0,9,0,9,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/test/java,hudson.cli,ConnectionTest.new Thread() {...},28,0,0,0,7,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/test/java,hudson.cli,PrivateKeyProviderTest.new ArgumentMatcher() {...},81,0,10,0,13,0,9,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/test/java,hudson.cli,ConnectionTest,103,0,6,0,26,0,7,0,4,0
jenkins-core (22-mrt-2016 21:51:03)/cli/src/test/java,org.codehaus.groovy.runtime,Security218,3,0,0,0,1,0,1,0,1,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.markup,MarkupFormatterDescriptor,7,0,0,0,3,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.markup,EscapedMarkupFormatter.DescriptorImpl,5,0,0,0,2,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.markup,MarkupFormatter,35,0,0,0,9,0,5,0,5,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,hudson.markup,EscapedMarkupFormatter,8,0,0,0,4,0,2,0,2,0
jenkins-core (22-mrt-2016 21:51:03)/jenkins-core/src/main/java,jenkins.scm,SCMCheckoutStrategy,37,0,4,0,10,0,6,0,4,0
