GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jpacman-framework,org.jpacman.framework.ui,MainUI,77,241,28,12,14,68,24,15,4,15
jpacman-framework,org.jpacman.framework.ui,ButtonPanel,17,126,3,3,3,35,5,10,2,10
jpacman-framework,org.jpacman.framework.ui,PointsPanel,10,89,5,5,0,25,5,5,0,5
jpacman-framework,org.jpacman.framework.ui,PacmanInteraction,13,117,5,9,5,40,6,16,1,14
jpacman-framework,org.jpacman.framework.ui,PacmanKeyListener,35,6,8,0,18,3,10,1,3,1
jpacman-framework,org.jpacman.framework.ui,PacmanInteraction.MatchState,21,49,0,0,1,5,2,2,2,2
jpacman-framework,org.jpacman.framework.ui,ButtonPanel.new ActionListener() {...},5,6,0,0,2,2,1,1,1,1
jpacman-framework,org.jpacman.framework.ui,ButtonPanel.new ActionListener() {...},51,6,12,0,8,2,7,1,1,1
jpacman-framework,org.jpacman.framework.ui,ButtonPanel.new ActionListener() {...},51,6,12,0,8,2,7,1,1,1
jpacman-framework,org.jpacman.framework.factory,FactoryException,9,0,0,0,4,0,2,0,2,0
jpacman-framework,org.jpacman.framework.factory,MapParser,93,181,14,26,9,53,15,17,1,9
jpacman-framework,org.jpacman.framework.factory,DefaultGameFactory,22,91,11,11,0,22,11,9,0,9
jpacman-framework,org.jpacman.framework.controller,AbstractGhostMover,42,128,20,20,0,32,20,9,0,9
jpacman-framework,org.jpacman.framework.controller,RandomGhostMover,6,32,1,1,1,9,1,2,0,2
jpacman-framework,org.jpacman.framework.view,Animator,0,28,0,0,0,11,0,4,0,4
jpacman-framework,org.jpacman.framework.view,BoardView,22,346,9,26,3,88,8,27,0,15
jpacman-framework,org.jpacman.framework.view,ImageLoader,69,278,28,32,2,52,27,13,0,10
jpacman-framework,org.jpacman.framework.view,Animator.new ActionListener() {...},0,10,0,0,0,4,0,2,0,2
jpacman-framework,org.jpacman.framework.model,Wall,0,5,0,0,0,2,0,2,0,2
jpacman-framework,org.jpacman.framework.model,Ghost,0,5,0,0,0,2,0,2,0,2
jpacman-framework,org.jpacman.framework.model,PointManager,32,94,17,19,0,22,17,10,0,9
jpacman-framework,org.jpacman.framework.model,Player,16,69,9,9,0,18,9,10,0,10
jpacman-framework,org.jpacman.framework.model,Food,4,11,0,0,2,4,1,3,1,3
jpacman-framework,org.jpacman.framework.model,IBoardInspector.SpriteType,5,85,0,0,0,8,1,3,1,3
jpacman-framework,org.jpacman.framework.model,Level,29,56,11,7,4,15,11,5,2,5
jpacman-framework,org.jpacman.framework.model,Sprite,66,98,24,26,3,25,26,7,2,6
jpacman-framework,org.jpacman.framework.model,Tile,53,113,19,21,1,26,20,10,1,9
jpacman-framework,org.jpacman.framework.model,Game,9,186,6,16,1,54,6,25,0,20
jpacman-framework,org.jpacman.framework.model,Board,78,276,42,52,0,55,42,18,0,13
jpacman-framework,org.jpacman.framework.model,Direction,5,85,0,0,0,12,1,5,1,5
