GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mockito,org.mockito.internal.exceptions.stacktrace,DefaultStackTraceCleanerProvider,0,5,0,0,0,2,0,2,0,2
mockito,org.mockito.internal.exceptions.stacktrace,DefaultStackTraceCleaner,0,49,0,12,0,8,0,8,0,2
mockito,org.mockito.internal.exceptions.stacktrace,ConditionalStackTraceFilter,0,29,0,2,0,8,0,3,0,2
mockito,org.mockito.internal.exceptions.stacktrace,StackTraceFilter,0,47,0,4,0,8,0,5,0,3
mockito,org.mockito.internal.configuration.injection.filter,NameBasedCandidateFilter,0,115,0,20,0,20,0,15,0,5
mockito,org.mockito.internal.configuration.injection.filter,OngoingInjector.new OngoingInjector() {...},0,5,0,0,0,2,0,2,0,2
mockito,org.mockito.internal.configuration.injection.filter,OngoingInjector,0,5,0,0,0,1,0,1,0,1
mockito,org.mockito.internal.configuration.injection.filter,TypeBasedCandidateFilter,0,38,0,4,0,9,0,4,0,2
mockito,org.mockito.internal.configuration.injection.filter,TerminalMockCandidateFilter,0,21,0,2,0,5,0,3,0,2
mockito,org.mockito.internal.configuration.injection.filter,TerminalMockCandidateFilter.new OngoingInjector() {...},10,40,0,2,2,5,0,3,0,2
mockito,org.mockito.internal.verification.argumentmatching,ArgumentMatchingTool,3,78,0,14,2,13,0,11,0,4
mockito,org.mockito.runners,MockitoJUnitRunner,0,24,0,0,0,8,0,4,0,4
mockito,org.mockito.runners,ConsoleSpammingMockitoJUnitRunner.new RunListener() {...},14,6,0,0,4,1,2,1,2,1
mockito,org.mockito.runners,ConsoleSpammingMockitoJUnitRunner,5,37,0,0,2,11,1,4,1,4
mockito,org.mockito.runners,VerboseMockitoJUnitRunner,5,31,0,0,2,10,1,4,1,4
mockito,org.mockito.runners,MockitoJUnit44Runner,0,4,0,0,0,2,0,1,0,1
mockito,org.mockito.runners,VerboseMockitoJUnitRunner.new RunListener() {...},17,6,0,0,5,1,2,1,2,1
mockito,org.mockito.internal.verification.api,VerificationDataInOrderImpl,0,21,0,0,0,8,0,4,0,4
mockito,org.mockito.internal.util.reflection,Fields.InstanceFields,0,81,0,4,0,17,0,8,0,6
mockito,org.mockito.internal.util.reflection,GenericMetadataSupport.TypeVarBoundedType,46,35,6,0,6,7,7,3,4,3
mockito,org.mockito.internal.util.reflection,FieldInitializationReport,1,29,1,1,0,9,1,5,0,5
mockito,org.mockito.internal.util.reflection,GenericMetadataSupport.ParameterizedReturnType,0,32,0,0,0,12,0,4,0,4
